method,alarm_id,start,end_exclusive,matched_incident,actual_positive_runs
autoencoder,23,5470,5471,,"[[5470, 5471]]"
autoencoder,24,5628,5630,,"[[5628, 5630]]"
autoencoder,25,5758,5759,0,"[[5758, 5759]]"
autoencoder,26,5883,5884,1,"[[5883, 5884]]"
autoencoder,27,5928,5943,,"[[5928, 5929], [5940, 5943]]"
autoencoder,28,5999,6001,,"[[5999, 6001]]"
autoencoder,29,6268,6273,2,"[[6268, 6273]]"
autoencoder,30,6304,6315,,"[[6304, 6305], [6313, 6315]]"
autoencoder,31,7056,7057,,"[[7056, 7057]]"
autoencoder,32,7321,7342,,"[[7321, 7322], [7341, 7342]]"
autoencoder,33,7386,7393,,"[[7386, 7387], [7392, 7393]]"
autoencoder,34,7568,7569,,"[[7568, 7569]]"
autoencoder,35,7737,7738,,"[[7737, 7738]]"
autoencoder,36,7870,7871,,"[[7870, 7871]]"
autoencoder,37,8005,8006,,"[[8005, 8006]]"
autoencoder,38,8798,8823,,"[[8798, 8799], [8822, 8823]]"
autoencoder,39,8879,8881,,"[[8879, 8881]]"
autoencoder,40,8943,8944,,"[[8943, 8944]]"
autoencoder,41,8999,9045,3,"[[8999, 9000], [9016, 9019], [9039, 9040], [9044, 9045]]"
autoencoder,42,9088,9124,,"[[9088, 9089], [9090, 9091], [9103, 9105], [9123, 9124]]"
autoencoder,43,9230,9231,,"[[9230, 9231]]"
autoencoder,44,9943,9945,,"[[9943, 9945]]"
autoencoder,45,10268,10279,,"[[10268, 10269], [10278, 10279]]"
autoencoder,46,10392,10393,,"[[10392, 10393]]"
autoencoder,47,10538,10539,,"[[10538, 10539]]"
autoencoder,48,10578,10581,4,"[[10578, 10581]]"
autoencoder,49,10619,10644,,"[[10619, 10621], [10643, 10644]]"
autoencoder,50,11360,11361,,"[[11360, 11361]]"
autoencoder,51,11738,11739,,"[[11738, 11739]]"
autoencoder,52,11957,11958,,"[[11957, 11958]]"
autoencoder,53,12787,12788,,"[[12787, 12788]]"
autoencoder,54,13158,13159,,"[[13158, 13159]]"
autoencoder,55,13271,13272,,"[[13271, 13272]]"
autoencoder,56,13394,13395,,"[[13394, 13395]]"
autoencoder,57,13446,13449,6,"[[13446, 13447], [13448, 13449]]"
autoencoder,58,13490,13491,,"[[13490, 13491]]"
autoencoder,59,13586,13587,,"[[13586, 13587]]"
autoencoder,60,13650,13651,,"[[13650, 13651]]"
autoencoder,61,13899,13900,,"[[13899, 13900]]"
autoencoder,62,13955,13957,,"[[13955, 13957]]"
